item_index,eng_sense,kyr_lemma,eng_gloss,selected_option
0,support.n.01,колдоо,the activity of providing for or maintaining by supplying with money or necessities,"1. ""the act of providing, caring for, or looking after someone by providing them with money or necessary things"""
1,country.n.02,мамлекет,the territory occupied by a nation,-1. Нет верного варианта
2,religion.n.02,дин,an institution to express belief in a divine power,"1. ""A belief that affirms the existence of God, that the world was created and is governed by God, and that a specific system of rituals, rules, and regulations has been developed around this belief."""
3,content.n.01,мазмун,everything that is included in a collection and that is held or included in something,"1. ""The inner essence of something; the main idea being expressed or conveyed."""
4,policy.n.02,саясат,a line of argument rationalizing the course of action of a government,"1. ""In governance and international relations, the work of a state authority, party, or a certain social group in accordance with its class goals and interests."""
5,work.n.01,эмгек,activity directed toward making or doing something,"1. ""Work is an action carried out with a specific goal through the use of mind and energy, a sign of the quality of human activity."""
6,profession.n.02,кесип,an occupation requiring special education (especially in the liberal arts or sciences),"1. ""A profession is a specific field of work or activity that is developing in a specific direction, requiring expertise and skill."""
7,day.n.01,күн,time for Earth to make a complete rotation on its axis,"3. ""A day is a period of time that includes 24 hours."""
8,draft.n.05,долбоор,any of the various versions in the development of a written work,"2. ""A draft of a document, a tentative text that may be amended or modified later."""
9,safety.n.01,коопсуздук,the state of being certain that adverse effects will not be caused by some agent under defined conditions,"1. ""Fearlessness, lack of doubt, lack of suspicion. Not being afraid, not being dangerous."""
10,rule.n.01,эреже,a principle or condition that customarily governs behavior,"2. ""A regulation, condition, order based on a certain basis."""
11,monument.n.02,эстелик,an important site that is marked and preserved as public property,"1. ""A sculptural or architectural building, painting, etc. dedicated to prominent people."""
12,air.n.02,аба,the region above the ground,"3. ""A gas-like substance that makes up the Earth's atmosphere, usually consisting of a combination of nitrogen and oxygen."""
13,use.n.01,пайдалануу,the act of using,"1. ""the act of using something or the state of being used for a purpose"""
14,conversation.n.01,сүйлөшүү,the use of speech for informal exchange of views or ideas or information etc.,"1. ""A conversation between two or more people, especially informal ones, in which news and ideas are exchanged."""
15,resource.n.01,ресурс,available source of wealth; a new or reserve supply that can be drawn upon when needed,"1. ""A source of something; a resource."""
16,man.n.03,адам,the generic use of the word to refer to any human being,"1. ""A living being, a person, who has the ability to think and speak, who can develop tools of production and use them in social labor."""
17,illness.n.01,оору,impairment of normal physiological function affecting part or all of an organism,"1. ""Disease, sickness, and illness."""
18,opinion.n.02,пикир,a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,"1. ""An opinion, a point of view, a statement expressing one's point of view on something."""
19,child.n.01,бала,a young person of either sex,"1. ""A young boy or girl who has not yet reached puberty; generally a boy or girl (in relation to their parents)."""
20,nature.n.03,табият,the natural physical world including plants and animals and landscapes etc.,"1. ""All nature on Earth, the material world around us, the environment."""
21,body_of_water.n.01,суу,the part of the earth's surface covered with water (such as a river or lake or ocean),"2. ""Stream, river."""
22,father.n.01,ата,a male parent (also used as a term of address to your father),"1. ""A man who has children (in relation to his children)."""
23,beginning.n.04,булак,"the place where something begins, where it springs into being","2. ""The place of origin, source, foundation of something."""
24,condition.n.01,шарт,a state at a particular time,"2. ""A situation, circumstance, opportunity that influences something, has an impact on the general situation."""
25,crime.n.01,кылмыш,(criminal law) an act punishable by law; usually considered an evil act,"1. ""An act committed against the law, a negative act, a sin, a crime."""
26,service.n.04,кызмат,a company or agency that performs a public service; subject to government regulation,-1. Нет верного варианта
27,sport.n.01,спорт,an active diversion requiring physical exertion and competition,"1. ""Exercises and trainings performed to strengthen the body (gymnastics, wrestling, tourism, etc.)."""
28,direction.n.03,багыт,a general course along which something has a tendency to develop,-1. Нет верного варианта
29,health.n.02,ден соолук,the general condition of body and mind,"1. ""Health."""
30,parent.n.01,эне,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,"1. ""A mother, a woman who gives birth to and raises a child (in relation to her child)."""
31,power.n.05,күч,one possessing or exercising power or influence or authority,"5. ""Authority, power, influence."""
32,class.n.01,категория,a collection of things sharing a common attribute,"1. ""a class or group of people or things considered to have certain common characteristics"""
33,member.n.01,мүчө,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),"3. ""A person who is part of an organization, society, or group of people."""
34,defense.n.01,коргоо,(military) military action or resources protecting a country against potential enemies,-1. Нет верного варианта
35,work.n.01,иш,activity directed toward making or doing something,"1. ""Work, laborious work; creative work."""
36,childhood.n.01,балалык,the time of person's life when they are a child,"1. ""Childhood, childhood."""
37,punishment.n.01,жаза,the act of punishing,"1. ""The penalty for a crime, the measure applied for a crime committed."""
38,action.n.01,аракет,something done (usually as opposed to something said),"1. ""A movement, action, trick, preparation, care made to do something."""
39,president.n.03,президент,the chief executive of a republic,"1. ""The elected head of the republican state, as well as the head of some major scientific institutions."""
40,memory.n.01,эс,something that is remembered,-1. Нет верного варианта
41,wrong.n.02,зыян,any harm or injury resulting from a violation of a legal right,"1. ""The consequence, damage, disruption, loss, etc. caused by something or an action, the adverse effect."""
42,act.n.01,иш,a legal document codifying the result of deliberations of a committee or society or legislative body,-1. Нет верного варианта
43,fauna.n.01,жаныбар,all the animal life in a particular region or period,"1. ""Various animals, living creatures, and representatives of the animal world in general."""
44,age.n.01,жаш,how long something has existed,"2. ""The measure of a person's life span in years, life expectancy."""
45,life.n.01,өмүр,a characteristic state or mode of living,"2. ""Life, livelihood."""
46,representative.n.01,өкүл,a person who represents others,"1. ""A person who represents or is sent by a specific state, institution, group, or person."""
