item_index,word,selected_option
0,tradition,custom.n.02; tradition; a specific practice of long standing
1,peace,peace.n.02; peace; harmonious relations; freedom from disputes
2,nature,nature.n.03; nature; the natural physical world including plants and animals and landscapes etc.
3,interest,interest.n.01; interest; a sense of concern with and curiosity about someone or something
4,science,science.n.01; science; a particular branch of scientific knowledge
5,hero,hero.n.01; hero; a man distinguished by exceptional courage and nobility and strength
6,memory,memory.n.01; memory; something that is remembered
7,state,state.n.04; state; a politically organized body of people under a single government
8,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
9,policy,policy.n.02; policy; a line of argument rationalizing the course of action of a government
10,source,"beginning.n.04; source; the place where something begins, where it springs into being"
11,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
12,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
13,state,state.n.04; state; a politically organized body of people under a single government
14,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
15,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
16,election,election.n.01; election; a vote to select the winner of a position or political office
17,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
18,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
19,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
20,law,law.n.01; law; the collection of rules imposed by authority
21,law,law.n.01; law; the collection of rules imposed by authority
22,resource,resource.n.01; resource; available source of wealth; a new or reserve supply that can be drawn upon when needed
23,voter,voter.n.01; voter; a citizen who has a legal right to vote
24,border,boundary_line.n.01; border; a line that indicates a boundary
25,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
26,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
27,law,law.n.01; law; the collection of rules imposed by authority
28,branch,branch.n.01; branch; a division of some larger or more complex organization
29,corruption,corruptness.n.02; corruption; lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain
30,condition,condition.n.01; condition; a state at a particular time
31,action,action.n.01; action; something done (usually as opposed to something said)
32,state,state.n.03; state; the group of people comprising the government of a sovereign state
33,action,action.n.01; action; something done (usually as opposed to something said)
34,crime,crime.n.01; crime; (criminal law) an act punishable by law; usually considered an evil act
35,condition,condition.n.07; condition; (usually plural) a statement of what is required as part of an agreement
36,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
37,law,law.n.02; law; legal document setting forth rules governing a particular kind of activity
38,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
39,law,law.n.01; law; the collection of rules imposed by authority
40,man,man.n.03; man; the generic use of the word to refer to any human being
41,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
42,freedom,freedom.n.01; freedom; the condition of being free; the power to act or speak or think without externally imposed restraints
43,interest,interest.n.01; interest; a sense of concern with and curiosity about someone or something
44,party,party.n.01; party; an organization to gain political power
45,party,party.n.01; party; an organization to gain political power
46,society,society.n.01; society; an extended social group having a distinctive cultural and economic organization
47,group,group.n.01; group; any number of entities (members) considered as a unit
48,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
49,security,security.n.01; security; the state of being free from danger or injury
50,party,party.n.01; party; an organization to gain political power
51,religion,religion.n.02; religion; an institution to express belief in a divine power
52,state,state.n.04; state; a politically organized body of people under a single government
53,religion,religion.n.02; religion; an institution to express belief in a divine power
54,authority,authority.n.02; authority; (usually plural) persons who exercise (administrative) control over others
55,information,information.n.01; information; a message received and understood
56,law,law.n.01; law; the collection of rules imposed by authority
57,security,security.n.01; security; the state of being free from danger or injury
58,state,state.n.03; state; the group of people comprising the government of a sovereign state
59,law,law.n.01; law; the collection of rules imposed by authority
60,information,information.n.01; information; a message received and understood
61,law,law.n.01; law; the collection of rules imposed by authority
62,defense,defense.n.02; defense; protection from harm
63,defense,defense.n.01; defense; (military) military action or resources protecting a country against potential enemies
64,state,state.n.03; state; the group of people comprising the government of a sovereign state
65,war,war.n.02; war; a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply
66,territory,territory.n.03; territory; the geographical area under the jurisdiction of a sovereign state
67,number,number.n.01; number; the property possessed by a sum or total or indefinite quantity of units or individuals
68,use,use.n.01; use; the act of using
69,state,state.n.04; state; a politically organized body of people under a single government
70,language,language.n.01; language; a systematic means of communicating by the use of sounds or conventional symbols
71,law,law.n.01; law; the collection of rules imposed by authority
72,language,language.n.01; language; a systematic means of communicating by the use of sounds or conventional symbols
73,condition,condition.n.01; condition; a state at a particular time
74,use,use.n.01; use; the act of using
75,law,law.n.01; law; the collection of rules imposed by authority
76,city,city.n.02; city; an incorporated administrative district established by state charter
77,law,law.n.01; law; the collection of rules imposed by authority
78,som,som.n.02; som; the basic unit of money in Kyrgyzstan
79,law,law.n.01; law; the collection of rules imposed by authority
80,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
81,law,law.n.01; law; the collection of rules imposed by authority
82,court,court.n.01; court; an assembly (including one or more judges) to conduct judicial business
83,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
84,state,state.n.03; state; the group of people comprising the government of a sovereign state
85,law,law.n.01; law; the collection of rules imposed by authority
86,citizen,citizen.n.01; citizen; a native or naturalized member of a state or other political community
87,country,state.n.04; country; a politically organized body of people under a single government
88,monument,monument.n.02; monument; an important site that is marked and preserved as public property
89,state,state.n.04; state; a politically organized body of people under a single government
90,law,law.n.01; law; the collection of rules imposed by authority
91,air,air.n.02; air; the region above the ground
92,water,body_of_water.n.01; water; the part of the earth's surface covered with water (such as a river or lake or ocean)
93,forest,forest.n.02; forest; land that is covered with trees and shrubs
94,flora,vegetation.n.01; flora; all the plant life in a particular region or period
95,fauna,fauna.n.01; fauna; all the animal life in a particular region or period
96,land,land.n.04; land; the solid part of the earth's surface
97,resource,resource.n.01; resource; available source of wealth; a new or reserve supply that can be drawn upon when needed
98,development,development.n.02; development; a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
99,state,state.n.03; state; the group of people comprising the government of a sovereign state
100,land,land.n.01; land; the land on which real estate is located
101,forest,forest.n.02; forest; land that is covered with trees and shrubs
