item_index,word,selected_option
0_108,баатыр,0
0_34,салт,0
0_97,илим,0
102_10,сот,0
102_8,мыйзам,0
104_21,мазмун,0
105_28,мыйзам,0
108_7,мыйзам,0
109_12,мыйзам,0
112_2,аймак,0
113_29,абал,0
113_5,тил,2
114_4,мыйзам,0
115_13,мыйзам,0
115_6,топ,2
116_1,мыйзам,0
116_3,сот,0
117_3,аял,0
119_1,өмүр,1
11_4,жаран,1
120_1,өмүр,0
123_10,аял,0
126_0,бала,0
126_6,ата,0
126_9,эне,0
127_5,бала,0
127_8,эне,0
129_1,бала,0
12_0,мыйзам,0
130_1,бала,0
130_4,кызыкчылык,1
131_0,бала,0
131_11,эне,0
131_6,шарт,1
132_11,жаш,1
136_0,бала,0
137_0,согуш,0
137_13,сот,0
13_4,мыйзам,0
141_12,маалымат,1
143_3,мыйзам,0
143_6,сот,0
144_0,мыйзам,0
144_9,турмуш,0
145_7,турмуш,0
148_26,сот,0
149_0,мыйзам,0
149_20,бийлик,0
149_4,сот,0
14_0,мыйзам,0
150_5,сот,0
152_3,аймак,0
153_1,жаран,1
154_3,мыйзам,0
155_1,жаран,1
156_3,ой,1
157_7,сөз,1
15_2,аймак,0
160_2,маалымат,1
161_15,маалымат,1
162_35,маалымат,1
163_15,маалымат,1
164_0,маалымат,1
164_3,мыйзам,0
16_10,мыйзам,0
16_9,аймак,0
171_1,жаран,1
172_1,жаран,1
173_1,жаран,1
173_7,мыйзам,0
174_1,жаран,1
174_2,мыйзам,0
175_0,мыйзам,0
176_0,жаран,1
176_17,маалымат,1
177_1,жарандык,0
177_4,жаран,1
178_2,мыйзам,0
17_80,шарт,1
182_15,мазмун,0
183_6,мыйзам,0
185_5,мыйзам,0
186_21,шарт,1
186_29,мыйзам,0
188_22,шарт,1
188_23,мыйзам,0
189_0,жаран,1
190_4,шарт,0
190_5,мыйзам,0
192_2,шарт,0
192_3,мыйзам,0
193_7,шарт,1
194_6,шарт,1
195_0,жаран,1
196_8,мыйзам,0
197_13,мыйзам,0
197_3,өмүр,0
198_0,жаран,1
198_7,мыйзам,0
199_17,мыйзам,0
199_8,эмгек,0
200_18,деңгээл,1
200_9,мыйзам,0
203_3,жаран,1
206_16,шарт,1
207_16,мыйзам,0
210_5,мектеп,0
211_1,мектеп,0
211_11,жаран,1
211_19,тил,2
211_24,шарт,1
212_14,шарт,1
213_7,шарт,1
214_1,мыйзам,0
214_4,жаран,1
216_11,шарт,1
216_36,саясат,0
219_3,турмуш,0
220_1,жаран,1
220_11,шарт,1
220_3,маданият,0
221_2,мыйзам,0
224_9,жаныбар,0
225_2,мыйзам,0
225_7,салык,0
226_1,жарандык,0
226_14,байланыш,0
227_2,жаран,1
227_4,жарандык,0
228_9,мыйзам,0
229_8,жарандык,0
231_1,жарандык,0
231_5,шарт,0
231_6,мыйзам,0
232_1,жаран,1
232_2,паспорт,0
233_1,жаран,1
234_5,жаран,1
237_16,жаран,1
239_4,эреже,1
239_9,коом,2
241_4,мыйзам,0
242_4,мыйзам,0
243_4,жаран,1
244_1,жаран,1
244_2,мыйзам,0
244_7,шарт,0
245_12,мыйзам,0
247_1,жаран,1
247_7,мыйзам,0
248_8,мыйзам,0
249_15,мыйзам,0
249_18,сот,0
24_13,шарт,0
253_12,сот,0
259_0,мыйзам,0
25_0,мыйзам,0
260_6,мыйзам,0
261_2,мыйзам,0
264_5,мыйзам,0
264_9,сот,0
265_9,мыйзам,0
268_1,сот,0
268_4,мыйзам,0
269_1,сот,0
269_4,саат,2
26_6,мыйзам,0
270_16,саат,2
270_19,сот,0
272_6,мыйзам,0
275_11,мыйзам,0
277_5,мыйзам,0
279_14,мыйзам,0
280_3,мыйзам,0
282_2,мыйзам,0
285_1,сот,0
285_9,мыйзам,0
287_0,мыйзам,0
288_8,мыйзам,0
290_0,сөз,1
290_9,мыйзам,0
292_0,жаран,1
292_7,мыйзам,0
293_19,мыйзам,0
298_5,саясат,0
29_8,мыйзам,0
2_5,аймак,0
302_2,жаран,1
304_13,жыл,1
304_18,жаран,1
304_7,тил,2
305_4,сан,1
306_3,программа,1
307_4,мыйзам,0
30_1,адам,0
30_14,партия,0
30_3,жаран,1
311_74,мыйзам,0
312_16,сан,1
312_58,мыйзам,0
313_42,саясат,0
313_60,маалымат,1
313_7,долбоор,1
315_19,сан,1
319_70,жаран,1
319_72,кызыкчылык,1
319_73,согуш,0
31_1,партия,0
31_2,коом,2
