item_index,word,selected_option
0,судьба,"106659-N; УЧАСТЬ, СУДЬБА, ДОЛЯ; "
1,основа,120291-N; ОСНОВЫ (ОСНОВНЫЕ ПОЛОЖЕНИЯ); 
2,традиция,107475-N; ТРАДИЦИЯ МНОГИХ ПОКОЛЕНИЙ; 
3,мир,"115423-N; МИР, ОТСУТСТВИЕ КОНФЛИКТОВ; "
4,природа,"72-N; ПРИРОДА; соотносящийся по значению с существительным природа, связанный с ним"
5,человек,2149-N; ЧЕЛОВЕК; 
6,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
7,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
8,наука,"20-N; НАУКА; система знаний, полученных в результате этой деятельности и составляющих научную картину мира"
9,герой,"125869-N; ГЕРОЙ, ГЕРОИЧЕСКИЙ ЧЕЛОВЕК; человек, совершающий подвиги, доблестный храбрец"
10,память,"106806-N; ВОСПОМИНАНИЕ; то, что сохранилось в памяти; мысленное воспроизведение чего-либо прошедшего, сохранившегося в памяти"
11,государство,445-N; ГОСУДАРСТВО; 
12,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
13,политика,6646-N; ПОЛИТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ; 
14,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
15,власть,143969-N; ПУБЛИЧНАЯ ВЛАСТЬ; права и полномочия органов государственного управления
16,источник,"106488-N; ИСХОДНЫЙ ПУНКТ; первая, исходная точка чего-либо"
17,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
18,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
19,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
20,имя,Нет верного варианта
21,президент,8066-N; ПРЕЗИДЕНТ ГОСУДАРСТВА; 
22,основа,120291-N; ОСНОВЫ (ОСНОВНЫЕ ПОЛОЖЕНИЯ); 
23,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
24,власть,"125989-N; ВЛАСТЬ, БРАЗДЫ ПРАВЛЕНИЯ; бразды правления; власть, управление"
25,власть,"125989-N; ВЛАСТЬ, БРАЗДЫ ПРАВЛЕНИЯ; бразды правления; власть, управление"
26,народ,"369-N; НАСЕЛЕНИЕ; совокупность жителей какой-либо области, местности и т. п."
27,человек,2149-N; ЧЕЛОВЕК; 
28,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
29,свобода,116635-N; СВОБОДА (ОТСУТСТВИЕ ОГРАНИЧЕНИЙ); возможность или право субъекта действовать без ограничений
30,защита,"106595-N; ОБЕРЕГАТЬ, ЗАЩИЩАТЬ; обеспечивать неприкосновенность, держать под защитой"
31,государство,445-N; ГОСУДАРСТВО; 
32,дело,"106501-N; ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ; то, что люди делают, чем заполняют своё время"
33,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
34,власть,"125989-N; ВЛАСТЬ, БРАЗДЫ ПРАВЛЕНИЯ; бразды правления; власть, управление"
35,выборы,"287-N; ВЫБОРЫ; процедура избрания представителей государственной власти, органов местного самоуправления, а также руководящих органов общественных организаций, осуществляемая с помощью голосования"
36,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
37,выборы,"287-N; ВЫБОРЫ; процедура избрания представителей государственной власти, органов местного самоуправления, а также руководящих органов общественных организаций, осуществляемая с помощью голосования"
38,выборы,"287-N; ВЫБОРЫ; процедура избрания представителей государственной власти, органов местного самоуправления, а также руководящих органов общественных организаций, осуществляемая с помощью голосования"
39,основа,"106569-N; СУТЬ, СУЩЕСТВО, СУЩНОСТЬ, СОДЕРЖАНИЕ; "
40,год,"106724-N; ГОД (ПРОМЕЖУТОК ВРЕМЕНИ); единица измерения времени, определяемая астрономически и равная периоду обращения планеты вокруг ее звезды (в частном случае для Земли 365 или 366 дней)"
41,гражданин,"1310-N; ГРАЖДАНИН; лицо мужского рода, принадлежащее к населению какого-либо государства, пользующееся всеми правами и исполняющее все обязанности, установленные законами государства"
42,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
43,значение,Спорный случай
44,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
45,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
46,ресурс,"106487-N; РЕСУРС, ИСТОЧНИК; "
47,граница,"673-N; ТЕРРИТОРИАЛЬНАЯ ГРАНИЦА; граница, предел чего-либо"
48,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
49,территория,"107135-N; ТЕРРИТОРИЯ, УЧАСТОК; "
50,закон,"398-N; ЗАКОН; юридический акт, принятый высшим представительным органом государственной власти либо непосредственным волеизъявлением населения (в порядке референдума) и регулирующий, как правило, наиболее важные общественные отношения"
51,президент,8066-N; ПРЕЗИДЕНТ ГОСУДАРСТВА; 
52,ветвь,Нет верного варианта
53,коррупция,"660-N; КОРРУПЦИЯ; преступная подкупность, продажность должностных лиц и общественных деятелей"
54,условие,"106446-N; ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ; совокупность условий и обстоятельств, создающих те или иные отношения; обстановка, положение"
55,действие,"118698-N; ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ; некое единичное действие, деяние, а также поступок, проявление действий"
56,государство,445-N; ГОСУДАРСТВО; 
57,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
58,общество,"138577-N; ОБЩЕСТВО, СОЦИУМ; коллектив, множество людей, характеризующийся общностью социальной, экономической и культурной жизни"
59,власть,Спорный случай
60,действие,"118698-N; ДЕЙСТВИЕ, ЦЕЛЕНАПРАВЛЕННОЕ ДЕЙСТВИЕ; некое единичное действие, деяние, а также поступок, проявление действий"
